window_index,start_row,end_row,ts,label,prediction,error,raw_response
2,2,21,1772371067364,0,0,,"{""prediction"": 0}"
1,1,20,1772371066612,0,0,,"{""prediction"": 0}"
3,3,22,1772371068146,0,0,,"{""prediction"": 0}"
0,0,19,1772371065877,0,0,,"{""prediction"": 0}"
4,4,23,1772371068895,0,0,,"{""prediction"": 0}"
5,5,24,1772371069681,0,0,,"{""prediction"": 0}"
6,6,25,1772371070570,0,0,,"{""prediction"": 0}"
7,7,26,1772371071398,0,0,,"{""prediction"": 0}"
10,10,29,1772371073925,0,0,,"{""prediction"": 0}"
9,9,28,1772371073037,0,0,,"{""prediction"": 0}"
8,8,27,1772371072204,0,0,,"{""prediction"": 0}"
11,11,30,1772371074782,0,0,,"{""prediction"": 0}"
12,12,31,1772371075564,0,0,,"{""prediction"": 0}"
13,13,32,1772371076338,0,0,,"{""prediction"": 0}"
14,14,33,1772371077173,0,0,,"{""prediction"": 0}"
15,15,34,1772371077830,0,0,,"{""prediction"": 0}"
16,16,35,1772371078570,0,0,,"{""prediction"": 0}"
18,18,37,1772371080209,0,0,,"{""prediction"": 0}"
17,17,36,1772371079375,0,0,,"{""prediction"": 0}"
19,19,38,1772371081038,0,0,,"{""prediction"": 0}"
20,20,39,1772371081895,0,0,,"{""prediction"": 0}"
21,21,40,1772371082710,0,0,,"{""prediction"": 0}"
22,22,41,1772371083520,0,0,,"{""prediction"": 0}"
23,23,42,1772371084374,0,0,,"{""prediction"": 0}"
24,24,43,1772371085227,0,0,,"{""prediction"": 0}"
25,25,44,1772371086077,0,0,,"{""prediction"": 0}"
26,26,45,1772371086936,0,0,,"{""prediction"": 0}"
27,27,46,1772371087753,0,0,,"{""prediction"": 0}"
28,28,47,1772371088618,0,0,,"{""prediction"": 0}"
29,29,48,1772371089480,0,1,,"{""prediction"": 1}"
31,31,50,1772371091138,0,0,,"{""prediction"": 0}"
30,30,49,1772371090305,0,0,,"{""prediction"": 0}"
33,33,52,1772371092751,0,0,,"{""prediction"": 0}"
32,32,51,1772371091908,0,0,,"{""prediction"": 0}"
34,34,53,1772371093656,0,0,,"{""prediction"": 0}"
35,35,54,1772371094567,0,0,,"{""prediction"": 0}"
36,36,55,1772371095534,0,0,,"{""prediction"": 0}"
37,37,56,1772371096485,0,0,,"{""prediction"": 0}"
38,38,57,1772371097367,0,0,,"{""prediction"": 0}"
40,40,59,1772371099149,0,0,,"{""prediction"": 0}"
41,41,60,1772371100081,0,0,,"{""prediction"": 0}"
39,39,58,1772371098270,0,0,,"{""prediction"": 0}"
42,42,61,1772371100999,0,1,,"{""prediction"": 1}"
43,43,62,1772371101837,0,0,,"{""prediction"": 0}"
44,44,63,1772371102634,0,0,,"{""prediction"": 0}"
46,46,65,1772371104315,0,0,,"{""prediction"": 0}"
45,45,64,1772371103532,0,1,,"{""prediction"": 1}"
47,47,66,1772371105085,0,0,,"{""prediction"": 0}"
48,48,67,1772371105973,0,0,,"{""prediction"": 0}"
50,50,69,1772371107680,0,0,,"{""prediction"": 0}"
51,51,70,1772371108448,0,0,,"{""prediction"": 0}"
49,49,68,1772371106819,0,0,,"{""prediction"": 0}"
